metric,metric_label,mean_candidats,mean_autres,diff,diff_pct
lexical_jaccard,Chevauchement lexical (Jaccard),0.09450484292593961,0.09083912704556152,0.00366571588037809,4.035393117042509
lexical_coverage,Coverage lexical (%),0.21326961675332615,0.23283920846233827,-0.019569591709012124,-8.404766464483796
numeric_total,Densité numérique totale,33.67479674796748,41.36769759450172,-7.692900846534243,-18.596395965621074
neg_total,Négations totales,4.40650406504065,4.360137457044673,0.04636660799597703,1.0634207855319449
words_premise,Longueur prémisse (mots),198.3821138211382,251.94501718213058,-53.56290336099238,-21.259758958547632
words_statement,Longueur statement (mots),103.73170731707317,101.52439862542955,2.207308691643618,2.1741657390036857
digits_statement,Chiffres dans statement,8.195121951219512,9.039175257731959,-0.8440533065124463,-9.337724764108952
pct_statement,Pourcentages dans statement,0.13821138211382114,0.09690721649484536,0.04130416561897578,42.62238367064521
units_statement,Unités dans statement,0.6666666666666666,0.9924398625429554,-0.3257731958762887,-32.82548476454294
neg_statement,Négations dans statement,1.7073170731707317,1.3896907216494845,0.3176263515212472,22.855902149525946
trial_primary,"Mots-clés ""primary trial""",0.11382113821138211,0.12096219931271478,-0.007141061101332669,-5.90354767184036
trial_secondary,"Mots-clés ""secondary trial""",0.0975609756097561,0.08934707903780069,0.008213896571955412,9.193245778611633
