metric,metric_label,mean_candidats,mean_autres,diff,diff_pct
lexical_jaccard,Chevauchement lexical (Jaccard),0.07642741755210233,0.07566156513815879,0.0007658524139435435,1.0122079982684593
lexical_coverage,Coverage lexical (%),0.19793081044541969,0.19374701918338927,0.004183791262030417,2.1594093574519935
numeric_total,Densité numérique totale,38.650137741046834,36.24362139917695,2.4065163418698816,6.6398341251973525
neg_total,Négations totales,4.349862258953168,4.193415637860082,0.15644662109308616,3.730768294957796
words_premise,Longueur prémisse (mots),262.5399449035813,243.35720164609054,19.182743257490728,7.882545956206302
words_statement,Longueur statement (mots),121.81818181818181,116.4559670781893,5.36221473999251,4.604499773199499
digits_statement,Chiffres dans statement,6.1570247933884295,6.596707818930041,-0.439683025541612,-6.665188721560305
pct_statement,Pourcentages dans statement,0.09917355371900827,0.10041152263374485,-0.001237968914736584,-1.2328952716434016
units_statement,Unités dans statement,0.6887052341597796,0.7390946502057614,-0.050389416045981794,-6.817721658782615
neg_statement,Négations dans statement,0.8484848484848485,0.9423868312757202,-0.0939019827908717,-9.964271536323938
trial_primary,"Mots-clés ""primary trial""",0.12396694214876033,0.10781893004115227,0.016148012107608065,14.976973061636487
trial_secondary,"Mots-clés ""secondary trial""",0.05785123966942149,0.060905349794238686,-0.003054110124817197,-5.014518650882289
