metric,metric_label,mean_candidats,mean_autres,diff,diff_pct
lexical_jaccard,Chevauchement lexical (Jaccard),0.07920419421830754,0.07555315348826408,0.0036510407300434644,4.832413422175148
lexical_coverage,Coverage lexical (%),0.18344831533346176,0.19566142248349794,-0.012213107150036179,-6.241959705197498
numeric_total,Densité numérique totale,31.975609756097562,38.65910652920962,-6.683496773112061,-17.288285667083947
neg_total,Négations totales,4.650406504065041,4.597938144329897,0.05246835973514408,1.1411280032082904
words_premise,Longueur prémisse (mots),198.3821138211382,251.94501718213058,-53.56290336099238,-21.259758958547632
words_statement,Longueur statement (mots),120.88617886178862,117.4192439862543,3.466934875534321,2.952612159502728
digits_statement,Chiffres dans statement,6.4471544715447155,6.499656357388316,-0.052501885843600604,-0.8077640256152995
pct_statement,Pourcentages dans statement,0.13821138211382114,0.09690721649484536,0.04130416561897578,42.62238367064521
units_statement,Unités dans statement,0.5365853658536586,0.7436426116838488,-0.20705724583019025,-27.843649970695637
neg_statement,Négations dans statement,1.951219512195122,1.627491408934708,0.323728103260414,19.89123269611074
trial_primary,"Mots-clés ""primary trial""",0.08943089430894309,0.1134020618556701,-0.023971167546727012,-21.13821138211382
trial_secondary,"Mots-clés ""secondary trial""",0.0975609756097561,0.0570446735395189,0.0405163020702372,71.02556567734352
